num	attraction	latitude	longitude
313	Stamford Bridge	51.481663	-0.1909565
314	Westfield Stratford City	51.5431462	-0.007235399999999999
315	St. James's Church	51.508775	-0.1367862
316	Waterloo Bridge	51.507199	-0.113625
317	Fenton House	51.5589277	-0.1801667
318	Middle Temple Hall	51.512306	-0.1110312
319	Paddington Station	51.5172468	-0.1726286
320	Hackney Empire	51.5455546	-0.055601
321	St Helen's Bishopsgate Church	51.51472039999999	-0.0822644
322	Greenwich Foot Tunnel	51.4834079	-0.0097513
323	Peter Pan Statue	51.5078152	-0.1745726
324	Lyric Hammersmith	51.4932679	-0.2262925
325	Bridge Theatre	51.5041361	-0.0773865
326	Southbank Centre Food Markets	51.50580619999999	-0.1166288
327	Wimbledon Common	51.4369405	-0.2319265
328	Jack the Ripper Museum	51.5107917	-0.0679394
329	City of London Information Centre	51.5132913	-0.09870899999999999
330	Kensington Palace	51.506987	-0.179165
331	James Freeman Gallery	51.5346294	-0.1045329
332	Golden Jubilee Bridges	51.507411	-0.1215589
333	Apple Market	51.512321	-0.1232185
334	Kensington High Street	51.500977	-0.1926946
335	St. Clement Danes	51.51288270000001	-0.1141072
336	Queen Elizabeth II Great Court	51.5073509	-0.1277583
337	The Crossness Pumping Station	51.508863	0.138182
338	Golders Hill Park	51.5670672	-0.1904475
339	Little Venice	51.5312705	-0.1569694
340	Young Vic	51.5031119	-0.1076841
341	Jubilee Gardens	51.5055617	-0.1157187
342	I Am the Greatest - Muhammad Ali at The O2	51.503038	0.0031543
343	Southbank Centre	51.503513	-0.1173553
344	Hammersmith Apollo Theatre	51.49084	-0.2245036
345	National Army Museum	51.4868548	-0.1602137
346	Hatton Garden	51.5194191	-0.1085508
347	Chinatown	51.5114744	-0.1315294
348	Theatre Royal Stratford East	51.5425276	0.0010091
349	Charing Cross Theatre	51.5080846	-0.1240736
350	Playhouse Theatre	51.506743	-0.1237453
351	Ambassadors Theatre	51.51297659999999	-0.128096
352	The Crystal	51.507467	0.016329
353	The Victoria Tower Gardens	51.4926782	-0.1252467
354	The Cartoon Museum	51.5177013	-0.1260041
355	Garden Lodge Queen, Londra	51.49472950000001	-0.1976749
356	Winter Wonderland	51.5072682	-0.1657303
357	Chiswick House	51.4840013	-0.2584675
358	STAR WARS Identities at The O2	51.503038	0.0031543
359	Blackfriars Bridge	51.5073509	-0.1277583
360	Old Bailey	51.515073	-0.1022792
361	Street Feast Dalston Yard	51.5466754	-0.0731812
362	Southwark Playhouse	51.4976081	-0.0984128
363	Hampstead Theatre	51.5440529	-0.173968
364	Marble Arch Theatre	51.5131654	-0.1588747
365	Surrey Docks Farm	51.5043863	-0.0457701
366	Women of World War II Memorial	51.50468679999999	-0.1264517
367	The Old Truman Brewery	51.5212858	-0.0718801
368	Donmar Warehouse	51.5139694	-0.1256008
369	Boadicea Monument	51.5008636	-0.1220084
370	Vauxhall City Farm	51.487356	-0.1192901
371	Hill Garden & Pergola	51.5652385	-0.1836857
